x1, y1, x2, y2, d, a, t
73, 79, 56, 88, 19.558, 2.084, 12
61, 87, 61, 87, 0.000, 0.000, 12
47, 99, 48, 98, 1.073, -0.464, 12
76, 72, 56, 89, 25.960, 2.270, 12
60, 88, 56, 89, 4.564, 1.763, 12
85, 76, 48, 89, 39.000, 1.891, 12
65, 85, 82, 60, 30.689, -0.619, 13
45, 89, 78, 84, 33.377, -1.420, 13
56, 89, 58, 88, 2.236, -1.107, 13
40, 95, 47, 93, 7.280, -1.292, 13
34, 98, 36, 97, 2.236, -1.107, 13
38, 102, 39, 101, 1.414, -0.785, 13
64, 85, 35, 39, 54.977, 0.573, 13
56, 88, 57, 87, 1.697, -0.785, 13
42, 93, 43, 92, 1.697, -0.785, 13
39, 96, 82, 72, 48.721, -1.056, 13
77, 72, 81, 60, 12.027, -0.291, 13
78, 84, 36, 39, 61.555, 0.751, 14
47, 93, 64, 81, 21.138, -1.001, 14
39, 101, 85, 73, 53.852, -1.024, 14
57, 87, 98, 103, 43.236, -1.935, 14
36, 39, 50, 43, 14.560, -1.849, 15
74, 44, 57, 150, 107.261, 2.988, 15
